0,0.171,4.2403e+08,2.5283e+06,1.0633e+08,9.317,1532,16.213,2.3262e+08,2742.5,1.489,4.2775e+07,1530,9.2297e+09,0.023,0,343.34,0,0
0,0.156,4.2381e+08,2.9048e+06,1.0948e+08,9.009,1727,6.827,3.1244e+08,2741.1,0.722,9.1737e+06,1725,8.833e+09,0.02,0,343.34,0,0
0,0.159,4.9512e+08,2.4553e+06,1.0773e+08,8.981,1273,2.133,2.4405e+08,2739.4,0.788,7.7977e+06,1271,9.21e+09,0.02,0,343.34,0,0
0,0.253,5.2931e+08,2.3152e+06,1.3743e+08,8.928,1335,2.24,1.9285e+08,2741.2,0.659,8.8891e+06,1334,9.2784e+09,0.02,0,343.34,0,0
0,0.247,8.8658e+08,4.7834e+06,2.4172e+08,12.08,1883,7.627,2.4585e+08,2741.4,0.816,9.3389e+06,1882,9.3057e+09,22.291,0,357.39,0.025,1.29
1,0.256,7.8015e+08,4.9506e+06,2.1841e+08,12.17,2188,3.253,2.329e+08,2743.2,0.77,8.9771e+06,2185,9.1908e+09,21.881,0,343.31,0.024,1.287
1,0.275,1.081e+09,6.2681e+06,3.2891e+08,13.669,2216,10.826,2.8546e+08,2742.5,0.83,1.0471e+07,2215,9.3433e+09,42.322,0.853,343.73,0.049,1.913
2,0.303,1.2624e+09,7.2693e+06,3.7079e+08,15.044,2335,7.36,2.2262e+08,2742.5,0.768,8.9443e+06,2334,9.1266e+09,64.328,0.907,344.17,0.055,1.888
2,0.37,1.6838e+09,9.7217e+06,5.4643e+08,17.802,2524,11.093,2.6442e+08,2743.9,0.921,1.0587e+07,2525,9.014e+09,83.539,0.907,358.12,0.091,1.8
2,0.377,1.7282e+09,9.8656e+06,5.4903e+08,17.928,2801,10.613,2.1851e+08,2743.3,0.847,9.2955e+06,2801,9.1495e+09,106.1,1.813,344.25,0.099,1.794
3,0.403,1.7604e+09,1.0451e+07,5.683e+08,19.396,2780,11.893,2.1111e+08,2773.8,0.909,9.4933e+06,2780,9.2412e+09,107.39,2.294,386.29,0.099,2.096
2,0.401,2.2994e+09,1.3577e+07,7.6154e+08,23.593,3356,12.267,2.4886e+08,2842.3,0.85,1.0363e+07,3355,1.0115e+10,200.15,0,447.12,0.136,2.845
1,0.364,1.8038e+09,1.0361e+07,5.8318e+08,18.526,2554,9.44,2.6301e+08,2745.3,0.962,1.5364e+07,2556,9.3329e+09,113.98,0.907,358.15,0.122,1.862
1,0.292,1.0415e+09,6.5376e+06,3.3556e+08,13.715,2794,9.387,2.4108e+08,2744.2,0.79,1.071e+07,2794,9.0444e+09,70.728,0.853,358.17,0.067,1.884
1,0.277,1.1505e+09,6.6344e+06,3.293e+08,13.797,2475,98.079,2.3367e+08,2743.4,0.835,8.5227e+06,2474,8.9888e+09,47.737,0.427,358.29,0.048,1.925
1,0.274,1.1019e+09,6.2498e+06,3.2464e+08,13.71,2490,9.173,2.2801e+08,2742.7,0.734,1.1874e+07,2489,9.1934e+09,58.805,0.853,372.75,0.047,1.913
1,0.326,1.1071e+09,6.2303e+06,3.3853e+08,13.699,2495,7.307,2.0893e+08,2743.9,0.85,1.6394e+07,2495,8.9742e+09,49.848,0.854,358.37,0.049,1.922
2,0.367,1.5602e+09,9.1758e+06,4.8602e+08,16.732,3031,10.027,2.4753e+08,2745.8,0.824,1.5886e+07,3031,9.0826e+09,75.341,0,372.86,0.062,1.827
2,0.407,1.7021e+09,9.7713e+06,5.5541e+08,18.142,2899,9.653,2.6978e+08,2744.4,0.903,1.3631e+07,2898,9.093e+09,101,2.72,372.33,0.098,1.835
3,0.37,1.861e+09,1.1729e+07,6.2404e+08,19.417,3199,9.76,3.0723e+08,2771.9,0.799,1.0338e+07,3198,9.1941e+09,121.27,1.813,392.77,0.1,2.155
3,0.38,2.1463e+09,1.2633e+07,7.0654e+08,22.26,3683,14.08,2.6219e+08,2829.2,1.025,1.1651e+07,3683,9.9529e+09,168.86,3.52,442.44,0.126,2.738
1,0.395,2.1317e+09,1.2755e+07,7.1151e+08,23.116,3816,10.88,2.756e+08,2801.3,0.914,3.0243e+07,3815,9.773e+09,200.4,0.906,450.13,0.135,2.565
1,0.268,1.1374e+09,6.2283e+06,3.2713e+08,13.612,2473,7.52,1.8272e+08,2742.8,0.826,8.9458e+06,2471,9.2423e+09,93.993,0.427,358.18,0.08,1.915
1,0.274,1.1302e+09,6.5299e+06,3.2919e+08,13.737,2476,98.61,2.4397e+08,2744.1,0.805,8.7845e+06,2475,9.0419e+09,62.942,0.427,373.1,0.047,1.912
0,0.318,9.8238e+08,4.595e+06,2.8555e+08,9.498,2037,5.013,1.6027e+08,1980.2,0.802,8.7961e+06,2035,9.0392e+09,33.599,0.427,344.81,0.035,0.645
0,0.24,4.7332e+08,2.6579e+06,1.2603e+08,9.034,1545,5.493,2.0884e+08,2741.9,0.645,9.0314e+06,1544,7.6174e+09,0.029,0,344.81,0,0
0,0.22,7.4724e+08,4.4349e+06,1.8681e+08,12.397,1878,49.925,2.2703e+08,2743.3,0.837,1.4008e+07,1881,8.8161e+09,26.029,0,358.96,0.015,1.284
0,0.244,6.7693e+08,2.7485e+06,1.6926e+08,8.925,1399,5.867,1.894e+08,2741.9,0.675,9.9709e+06,1398,8.9253e+09,18.183,0,344.83,0.017,0
1,0.265,1.0069e+09,6.3262e+06,2.8694e+08,13.826,2367,5.653,2.2988e+08,2743.8,0.924,8.2546e+06,2367,8.7527e+09,38.4,0.427,358.66,0.031,1.931
1,0.307,1.1403e+09,6.3789e+06,3.3865e+08,13.886,2745,7.413,2.2497e+08,2745.4,0.714,8.8241e+06,2745,9.1496e+09,71.129,0,372.66,0.047,1.929
1,0.284,1.1817e+09,6.8694e+06,3.2869e+08,13.772,2498,7.68,2.4806e+08,2744.7,0.846,9.4964e+06,2498,8.8779e+09,64.173,0,358.64,0.049,1.91
1,0.271,1.0697e+09,6.4904e+06,3.1947e+08,13.771,2446,7.2,2.8723e+08,2746.8,0.741,8.7045e+06,2445,8.6707e+09,72.718,0,372.48,0.047,1.904
2,0.346,1.721e+09,1.0194e+07,5.4234e+08,18.162,2812,11.04,2.6818e+08,2745.4,1.005,1.0496e+07,2810,8.9789e+09,99.987,0,372.65,0.081,1.798
2,0.341,1.7808e+09,9.862e+06,5.5366e+08,18.296,3071,9.279,2.5229e+08,2747,0.834,9.8936e+06,3071,9.1292e+09,139.84,0,401.23,0.095,1.805
3,0.381,2.2151e+09,1.3787e+07,7.3096e+08,23.692,3588,14.775,2.9106e+08,2873.1,1.028,9.9731e+06,3588,9.829e+09,185.68,1.387,459.61,0.125,2.908
3,0.37,2.2802e+09,1.3244e+07,7.4854e+08,23.727,3313,11.893,2.8606e+08,2830.1,0.942,8.5537e+06,3300,9.7853e+09,200,0,441.89,0.147,2.764
4,0.386,2.4089e+09,1.5145e+07,7.9563e+08,24.788,3822,15.094,2.7276e+08,2857.8,0.977,9.9279e+06,3822,1.0532e+10,197.12,4.532,433.44,0.166,2.324
3,0.373,2.366e+09,1.3977e+07,7.9854e+08,24.825,3947,12.373,2.9703e+08,2807.9,0.942,9.5494e+06,3947,1.059e+10,183.98,0.907,373.89,0.169,2.608
3,0.396,2.9872e+09,1.7843e+07,9.7251e+08,28.734,4526,29.176,3.0289e+08,2815.5,1.798,6.4214e+07,4530,9.6903e+09,200.64,0,388.08,0.182,2.015
